,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,cotton_area,Corn_area,SORGHUM_ACRES,precipitation_cm_x,Latitude,Longitude,Application Factor,Lime-cotton-tonnes,Lime-corn-tonnes,Lime-sorghum-tonnes,E-cotton-CO2,E-corn-CO2,E-sorghum-CO2,Urea_tonne_cotton,E-cotton-urea-CO2,Urea_tonne_corn,E-corn-urea-CO2,Urea_tonne_sorghum,E-sorghum-urea-CO2,E-N2O-cotton,E-N2O-corn,E-N2O-sorghum,Tillage,E-N20-T,E-CO2-T,CO2,N2O
0,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,9261,645,0,148,32.5165255,-86.6319403,0.45,1686.508671,117.4601115,0,668.4645767,46.55648979,0,1011.90587,742.7389086,43.885026,32.21160908,0,0,9864.249465,46.04668378,0,CT,13.31530281,149.248449,1639.220033,9923.611451
1,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148,32.3117968,-87.1046643,0.45,2573.742257,2526.940321,0,1020.128481,1001.578066,0,1544.246373,1133.476838,944.1063888,692.9740894,0,0,22972.96212,21311.1807,0,CT,37.64872969,421.9967504,4270.154224,44321.79154
2,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148,37.6832712,-93.0219376,0.45,2573.742257,2526.940321,0,1020.128481,1001.578066,0,1544.246373,1133.476838,944.1063888,692.9740894,0,0,22972.96212,21311.1807,0,CT,37.64872969,421.9967504,4270.154224,44321.79154
3,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148,32.7762719,-96.7968559,0.45,2573.742257,2526.940321,0,1020.128481,1001.578066,0,1544.246373,1133.476838,944.1063888,692.9740894,0,0,22972.96212,21311.1807,0,CT,37.64872969,421.9967504,4270.154224,44321.79154
4,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,14133,13876,0,148,41.6744179,-94.0394437,0.45,2573.742257,2526.940321,0,1020.128481,1001.578066,0,1544.246373,1133.476838,944.1063888,692.9740894,0,0,22972.96212,21311.1807,0,CT,37.64872969,421.9967504,4270.154224,44321.79154
5,COUNTY,MISSOURI,29,CENTRAL,50,DALLAS,59,0,1369,95,107.1,32.3117968,-87.1046643,0.45,0,249.3068103,17.3003265,0,98.81524733,6.857157412,0,0,93.1451172,68.36851602,0.4309105,0.316288307,0,207.4368101,0.066593672,CT,1.967858198,22.05731167,196.4145207,209.471262
6,COUNTY,MISSOURI,29,CENTRAL,50,DALLAS,59,0,1369,95,107.1,37.6832712,-93.0219376,0.45,0,249.3068103,17.3003265,0,98.81524733,6.857157412,0,0,93.1451172,68.36851602,0.4309105,0.316288307,0,207.4368101,0.066593672,CT,1.967858198,22.05731167,196.4145207,209.471262
7,COUNTY,MISSOURI,29,CENTRAL,50,DALLAS,59,0,1369,95,107.1,32.7762719,-96.7968559,0.45,0,249.3068103,17.3003265,0,98.81524733,6.857157412,0,0,93.1451172,68.36851602,0.4309105,0.316288307,0,207.4368101,0.066593672,CT,1.967858198,22.05731167,196.4145207,209.471262
8,COUNTY,MISSOURI,29,CENTRAL,50,DALLAS,59,0,1369,95,107.1,41.6744179,-94.0394437,0.45,0,249.3068103,17.3003265,0,98.81524733,6.857157412,0,0,93.1451172,68.36851602,0.4309105,0.316288307,0,207.4368101,0.066593672,CT,1.967858198,22.05731167,196.4145207,209.471262
9,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,0,0,0,73.4,32.3117968,-87.1046643,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT,0,0,0,0
10,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,0,0,0,73.4,37.6832712,-93.0219376,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT,0,0,0,0
11,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,0,0,0,73.4,32.7762719,-96.7968559,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT,0,0,0,0
12,COUNTY,TEXAS,48,BLACKLANDS,40,DALLAS,113,0,0,0,73.4,41.6744179,-94.0394437,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT,0,0,0,0
13,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,0,135452,0,86.4,32.3117968,-87.1046643,0.4,0,21926.21123,0,0,8690.673083,0,0,0,9215.991538,6764.537789,0,0,0,2030718.723,0,CT,182.0698966,2040.783456,17495.99433,2030900.793
14,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,0,135452,0,86.4,37.6832712,-93.0219376,0.4,0,21926.21123,0,0,8690.673083,0,0,0,9215.991538,6764.537789,0,0,0,2030718.723,0,CT,182.0698966,2040.783456,17495.99433,2030900.793
15,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,0,135452,0,86.4,32.7762719,-96.7968559,0.4,0,21926.21123,0,0,8690.673083,0,0,0,9215.991538,6764.537789,0,0,0,2030718.723,0,CT,182.0698966,2040.783456,17495.99433,2030900.793
16,COUNTY,IOWA,19,CENTRAL,50,DALLAS,49,0,135452,0,86.4,41.6744179,-94.0394437,0.4,0,21926.21123,0,0,8690.673083,0,0,0,9215.991538,6764.537789,0,0,0,2030718.723,0,CT,182.0698966,2040.783456,17495.99433,2030900.793
17,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,13795,2487,0,148,32.5801231,-86.125195,0.45,2512.189517,452.9043369,0,995.7314368,179.513163,0,1507.314704,1106.368993,169.2124956,124.2019718,0,0,21887.27468,684.5899191,0,CT,21.88570162,245.31226,2651.127824,22593.7503
18,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,13795,2487,0,148,43.3073766,-115.5411027,0.45,2512.189517,452.9043369,0,995.7314368,179.513163,0,1507.314704,1106.368993,169.2124956,124.2019718,0,0,21887.27468,684.5899191,0,CT,21.88570162,245.31226,2651.127824,22593.7503
